stars,delivery,takeout,Outdoor seating,hours,cost,location,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7,cuisine8,cuisine9,cuisine10,cuisine11,cuisine12,cuisine13,cuisine14,cuisine15,cuisine16,cuisine17,cuisine18,cuisine19,cuisine20,cuisine21,cuisine22,cuisine23,cuisine24,cuisine25,cuisine26,cuisine27,cuisine28,cuisine29,cuisine30,cuisine31,cuisine32,cuisine33,cuisine34,cuisine35,cuisine36,cuisine37,cuisine38,cuisine39,cuisine40,cuisine41,cuisine42,cuisine43,cuisine44,cuisine45,cuisine46,cuisine47,cuisine48,cuisine49,cuisine50
4,1,1,1,15,2,0,0.46113002,1.1580501,-1.254,-0.22130498,0.56150496,-0.546075,-1.09019,0.19172502,-0.1734145,0.028205007,-1.2637,-0.213207,1.18995,0.769355,0.563765,-0.014844999,-0.50909495,0.12377001,-0.074384995,-0.59981,1.078915,0.57631004,0.62242,0.980575,-0.01869805,0.52229977,-0.0087147,0.66427,0.17395,0.17339501,1.23729,1.1953,-0.52118003,1.4146,0.27463,-0.1456715,0.397835,0.43098003,0.218245,0.115757,0.3735,0.39191002,-1.18735,0.46254998,0.1731335,0.88941,-0.44719002,-0.074539,0.0200475,0.87268496
4.5,1,1,1,22,2,0,-0.23957,-1.1127,-0.45141,1.0774,0.24813,-1.0792,0.5073,0.070523,-0.25018,-0.21347,0.54928,-0.15735,1.2776,0.37493,0.25888,0.40134,-0.61422,0.66707,0.40113,0.39055,0.64353,0.53759,0.052834,0.1151,-0.097472,-0.95147,0.24283,-0.42554,-1.0417,0.95874,2.7666,0.3666,-0.34416,1.4537,0.24936,0.57215,-0.28945,-0.53433,-0.32894,-0.78265,-0.61477,0.65148,0.37419,-0.38913,1.1656,-0.14399,-0.94727,0.18564,1.4395,-1.0229
4.5,1,1,0,21,2,0,-0.56024504,0.41688,-0.12994455,0.133207,-0.0034950003,0.2930535,-1.43965,-0.40632,0.159535,-0.440975,0.30620503,0.101785995,0.14412001,0.544815,0.03786,0.040379986,0.084955,0.0193405,-0.774855,-0.258595,0.801535,0.1326,-0.54668,0.211815,-0.527705,-1.5674,-0.321945,-0.45263147,-0.384985,0.275197,2.87765,-0.151664,-0.14165886,-0.42703,0.25406,-0.36402,-0.021144994,-0.2430565,-0.094666496,-0.4526,0.014229998,0.1555075,0.60530347,-0.59433,-0.091074005,0.521544,-0.57559,0.14769399,-0.081906,0.242015
4.5,0,0,0,16,2,0,-0.08570799,-0.044853173,-0.9298125,0.23336977,0.5110575,-0.13519725,-0.59538525,-0.276795,0.017389998,0.43896,-0.09388751,-0.15966126,0.96726257,0.073979974,0.3815125,0.140296,-0.07738,0.447104,0.10494501,-0.60457504,0.89517,0.1555675,0.66629505,0.4310023,-0.005439751,-0.46474248,-0.29863024,0.31119,0.36195624,0.26407498,1.878555,0.21703151,-0.4839975,1.3287749,0.39153352,0.13654949,-0.6975145,0.75338,0.115167476,0.42340252,0.20781325,0.555055,-0.04844501,-0.052447237,0.70316255,0.6504475,-0.6130092,0.111827254,0.25509074,-0.6530275
4,0,0,1,14.5,2,0,0.36070198,0.39324802,-1.283488,-0.04975919,0.333108,-0.117759205,-0.43031207,-0.0935284,-0.3743658,0.34779,-0.46670204,-0.45470682,0.64099604,0.86701804,0.611718,-0.40905398,-0.5496918,0.27916163,-0.11468439,-0.736064,0.729564,0.303272,0.19275801,0.92207795,-0.5709752,-0.34103808,-0.056043874,0.507848,0.093644,0.066333994,1.719116,0.57049596,-0.58655,0.872694,0.13879,0.1414114,0.17789899,0.571084,0.022032004,0.1501648,0.28850198,0.437224,-0.18818602,0.331956,0.49912938,0.45108062,-0.378374,-0.3545336,0.22045441,0.140336
4,0,0,0,18,2,0,0.97316504,-0.60969996,-1.048695,0.0779005,0.686195,0.056401998,-0.76625,-0.035359994,-0.7541157,0.16253999,0.147405,-0.23322445,0.111115,0.77659,0.57278,-1.11761,-0.60717,0.76075,-0.294489,-0.2996,0.3501,-0.23726001,-0.412385,1.32945,-0.59457004,-0.85323,-0.553185,0.16451001,0.042249978,-0.02331999,2.0641,0.0066,-0.29375,1.332845,-0.28338,0.295925,-0.359805,0.92331004,0.22021501,-0.032655,0.83914,0.430375,0.16996998,-0.248605,0.432355,0.60214496,-0.573355,-0.16337001,0.48521498,-0.038825005
4.5,1,1,1,21,2,0,-0.30919,-0.35173,0.077699,0.28382,0.58852,-0.057347,-0.59888,0.069184,-1.4809,-0.27295,0.96721,0.24209,0.7149,1.2033,0.41348,-0.019271,-0.94934,0.71965,-0.53969,0.20194,1.2115,-0.39822,-0.87987,-0.42378,0.6151,-1.865,-0.40182,-0.46066,-0.31456,-0.10373,2.9272,0.016333,0.82838,0.55921,0.10666,-0.10548,-0.22221,-0.54478,-1.2444,-0.63589,-0.75659,-0.66823,1.2943,-0.87361,1.7536,-0.45602,-0.24003,0.95075,0.29086,-0.37979
4,1,1,1,23,3,0,0.63843,0.65935665,-0.88906336,-0.093163334,0.010809995,-0.44279337,-0.6145467,0.13786496,-0.22092001,-0.9014867,0.053259987,-0.52307796,0.507895,0.15757333,-0.6324367,0.38709334,0.29084033,0.023490002,-0.74984336,0.81545997,-0.19605134,-0.18137266,-0.04273033,0.7042367,-0.035786673,-1.1745,0.17429723,0.39324665,0.24312,0.31950334,2.9787667,-0.027129998,0.032270003,0.164916,0.26170167,-0.016839,-1.00805,0.06363333,-0.47789633,0.51461333,-0.51380736,0.195424,0.79133993,-0.6511,-0.13904999,0.6676833,0.22401333,-0.20017667,-0.42266333,-0.6965267
4,1,1,1,21,2,0,-0.56194,-0.45659,-1.2125,0.64634,-0.19139,-0.42161,0.21849,0.38347,0.28112,0.20258,-0.59343,-0.40357,0.84571,0.78959,-0.66772,-0.2886,0.17563,1.0214,0.14925,0.27532,0.53473,-0.13705,-0.33251,0.36363,-0.17169,0.14474,-0.6241,0.24069,0.19186,-0.60831,-0.68939,0.11443,0.088931,0.422,-0.68094,0.36574,-0.046472,0.19506,0.91187,0.32971,-0.31651,-0.50095,-0.3948,0.43595,0.79385,1.2388,-0.4244,-0.20589,0.24015,0.26838
4,1,1,1,18,2,0,-0.141837,-0.299025,-0.4924505,-0.037980005,0.18391499,-0.1730585,-0.67356503,-0.156203,-0.716014,-0.034854993,0.25216502,-0.22362,0.42086,0.494705,0.486705,0.29484448,-0.049225003,0.45994,-0.44677502,-0.333555,1.2393501,-0.00089000165,-0.55912,0.90316,-0.38814998,-0.5474,-0.340185,-0.2636615,0.012965009,0.049275,2.1562,0.4343615,0.94189,0.78060496,0.108495,0.07035,0.09041,-0.549725,-0.74489003,0.07844499,-0.102634996,-0.274135,0.76308,0.29619497,1.056605,0.187565,-0.796565,0.09132999,0.14472015,-0.44302002
