stars	delivery	takeout	Outdoor seating	hours	cost	location	cuisine
4	0	0	0	15	2	0	4
4.5	0	0	0	22	2	0	43
4.5	0	0	0	21	2	0	152
4.5	0	0	0	16	2	0	72
4	0	0	0	14.5	2	0	4
4	0	0	0	18	2	0	105
4.5	0	0	0	21	2	0	105
4	0	0	0	23	3	0	48
4	0	0	0	21	2	0	39
4	0	0	0	18	2	0	31
5	0	0	0	16	2	0	5
4.5	0	0	0	16	1	0	186
4	0	0	0	21	2	0	25
4	0	0	0	23	2	0	105
4.5	0	0	0	16	2	0	4
4	0	0	0	21	2	0	108
3.5	0	0	0	18	2	0	128
4	0	0	0	18	2	0	186
4.5	0	0	0	22	3	0	20
3.5	0	0	0	22	2	2	193
4.5	0	0	0	14.5	2	0	108
4.5	0	0	0	23	2	0	18
3.5	0	0	0	18	2	0	105
4.5	0	0	0	18	2	0	105
4.5	0	0	0	22	2	0	123
5	0	0	0	18	2	0	130
4	0	0	0	22	2	0	76
4.5	0	0	0	18	2	0	49
4.5	0	0	0	23	2	0	193
4.5	0	0	0	21	2	0	114
3	0	0	0	23	3	0	123
4.5	0	0	0	23	2	0	33
4.5	0	0	0	23	2	0	81
4.5	0	0	0	20.5	2	0	39
4.5	0	0	0	18	2	0	14
3.5	0	0	0	22.5	3	0	28
4.5	0	0	0	18	4	0	108
4	0	0	0	23	2	1	20
4	0	0	0	22.5	2	0	32
5	0	0	0	18	2	0	11
4.5	0	0	0	18	2	0	20
4.5	0	0	0	21	1	0	4
4	0	0	0	22	2	0	48
4.5	0	0	0	22	2	0	46
4.5	0	0	0	22	2	0	105
4	0	0	0	23	2	0	186
3.5	0	0	0	23	2	0	123
4	0	0	0	22	2	0	43
4	0	0	0	0	2	1	11
4.5	0	0	0	18	2	0	82
4.5	0	0	0	21	2	0	186
4	0	0	0	23	2	5	108
4.5	0	0	0	22.5	2	0	48
5	0	0	0	23	2	0	45
4.5	0	0	0	23	2	0	105
4	0	0	0	16	2	0	4
4.5	0	0	0	18	3	0	53
4.5	0	0	0	22	2	0	28
3.5	0	0	0	1	2	0	11
4	0	0	0	22	2	0	18
5	0	0	0	15	2	0	4
4	0	0	0	22.5	2	0	46
5	0	0	0	20	2	0	196
4.5	0	0	0	15	1	0	4
4.5	0	0	0	16	2	0	18
5	0	0	0	18	2	0	20
4.5	0	0	0	18	2	3	18
4.5	0	0	0	18	3	0	19
4.5	0	0	0	18	3	0	152
4.5	0	0	0	23	2	0	43
3.5	0	0	0	2	2	0	11
3.5	0	0	0	18	2	0	55
4.5	0	0	0	20	2	0	79
4.5	0	0	0	22	2	0	81
4	0	0	0	22	2	0	43
4	0	0	0	22	2	0	193
4	0	0	0	21.5	2	5	14
4.5	0	0	0	2.5	3	3	18
4.5	0	0	0	17	2	0	66
4.5	0	0	0	23	3	0	64
4	0	0	0	22	2	0	128
4	0	0	0	22.5	2	5	18
4.5	0	0	0	16	2	0	4
4	0	0	0	20	2	2	91
4	0	0	0	2	2	0	4
3.5	0	0	0	23	2	0	86
4	0	0	0	22	2	0	49
4	0	0	0	22	2	2	20
4.5	0	0	0	15	2	0	4
4	0	0	0	23	2	0	123
5	0	0	0	21	2	0	24
4.5	0	0	0	18	3	0	57
4.5	0	0	0	2	2	0	31
4	0	0	0	23	2	0	55
4	0	0	0	21.5	3	0	2
4	0	0	0	22	1	0	186
4	0	0	0	21	2	0	134
4	0	0	0	21	1	0	76
4	0	0	0	15	2	0	55
4.5	0	0	0	22	2	0	5
4	0	0	0	0	2	0	58
4	0	0	0	18	1	0	4
3.5	0	0	0	21	2	2	3
3.5	0	0	0	1	2	0	11
4.5	0	0	0	22	2	0	25
4	0	0	0	2	2	0	31
4.5	0	0	0	22	2	0	128
4.5	0	0	0	18	1	0	18
4.5	0	0	0	18	3	0	3
4.5	0	0	0	20.5	2	0	18
4.5	0	0	0	22.5	2	0	49
4	0	0	0	18	2	3	91
4.5	0	0	0	22	2	0	43
4.5	0	0	0	18	2	0	18
4.5	0	0	0	20	1	0	134
4	0	0	0	21.5	2	0	63
5	0	0	0	1.5	2	0	46
4.5	0	0	0	16	1	0	186
4.5	0	0	0	23	2	0	4
4.5	0	0	0	18	4	0	48
4.5	0	0	0	2	2	0	2
5	0	0	0	17	2	0	134
3.5	0	0	0	18	3	0	5
4	0	0	0	21	2	0	108
4	0	0	0	21	1	0	1
3.5	0	0	0	22	2	0	1
3.5	0	0	0	23	3	0	14
4	0	0	0	15	2	0	4
4.5	0	0	0	18	2	0	105
5	0	0	0	20	2	0	78
4	0	0	0	21.5	2	2	46
4	0	0	0	15.5	2	0	4
5	0	0	0	22.5	2	0	2
4	0	0	0	18	2	0	25
4.5	0	0	0	21	2	0	15
4	0	0	0	23	2	0	14
4.5	0	0	0	21.5	2	0	82
4	0	0	0	21	2	0	108
4.5	0	0	0	18	2	0	67
5	0	0	0	16	2	0	18
4.5	0	0	0	0	2	0	55
4.5	0	0	0	18	2	0	20
3.5	0	0	0	22	2	0	105
4.5	0	0	0	22.5	2	0	81
5	0	0	0	20	2	0	203
4.5	0	0	0	18	2	0	45
4	0	0	0	21	2	0	7
4	0	0	0	23	2	0	55
4.5	0	0	0	23	3	0	39
4.5	0	0	0	21	1	0	1
4.5	0	0	0	18	2	0	23
5	0	0	0	20	2	0	72
4	0	0	0	15	2	0	4
4	0	0	0	16	2	0	18
1	0	0	0	18	2	0	14
5	0	0	0	18	2	0	186
4.5	0	0	0	21	1	0	5
4	0	0	0	2	2	0	105
4	0	0	0	15	2	0	4
4	0	0	0	18	2	0	193
4	0	0	0	16	2	0	5
4.5	0	0	0	23	2	0	43
4	0	0	0	18	2	0	5
4	0	0	0	15	2	0	108
4.5	0	0	0	22	2	0	181
4.5	0	0	0	1	2	0	27
5	0	0	0	18	2	0	63
4.5	0	0	0	18	2	0	193
4.5	0	0	0	22	2	0	123
4.5	0	0	0	15	2	0	4
5	0	0	0	23	2	0	20
4	0	0	0	18	2	0	152
4	0	0	0	20.5	2	0	108
4	0	0	0	0	2	0	105
4.5	0	0	0	18	4	0	55
4	0	0	0	23	2	0	4
4.5	0	0	0	2	2	0	14
5	0	0	0	18	2	0	58
4.5	0	0	0	18	3	0	193
4.5	0	0	0	18	2	0	49
4	0	0	0	18	3	0	105
4.5	0	0	0	18	2	0	55
4	0	0	0	18	2	0	105
4	0	0	0	15	2	0	2
4	0	0	0	21	2	0	186
3.5	0	0	0	22	2	0	4
5	0	0	0	18	2	0	18
4.5	0	0	0	2	1	0	18
5	0	0	0	2	1	0	48
5	0	0	0	23	2	0	20
4	0	0	0	20	2	0	114
4.5	0	0	0	18	2	0	128
4.5	0	0	0	23	2	0	193
4	0	0	0	22	2	2	58
4	0	0	0	18	4	0	2
4.5	0	0	0	16	2	0	43
4.5	0	0	0	16	2	0	5
4.5	0	0	0	16	2	0	49
4.5	0	0	0	21	2	0	186
4.5	0	0	0	18	3	0	126
4.5	0	0	0	23	2	0	128
4	0	0	0	18	2	0	43
4	0	0	0	23	2	0	20
4	0	0	0	23	2	0	120
4.5	0	0	0	21	2	0	165
3.5	0	0	0	20	2	2	41
4.5	0	0	0	22.5	2	2	18
4	0	0	0	18	2	3	8
4	0	0	0	18	2	5	4
4.5	0	0	0	0	3	5	40
4.5	0	0	0	23	2	5	18
4	0	0	0	18	2	5	6
4.5	0	0	0	18	2	5	2
4.5	0	0	0	0	2	3	25
4	0	0	0	23	2	2	81
4	0	0	0	21	2	5	20
4.5	0	0	0	21.5	2	3	4
4.5	0	0	0	18	2	5	0
4	0	0	0	0	2	5	25
4.5	0	0	0	21.5	2	3	108
4	0	0	0	22	3	5	108
4	0	0	0	22.5	2	3	2
4	0	0	0	0	2	5	18
4	0	0	0	20	2	5	14
4	0	0	0	23	4	3	193
4.5	0	0	0	22	2	3	18
4	0	0	0	21	2	3	58
4.5	0	0	0	21.5	3	3	55
4.5	0	0	0	22.5	2	5	2
4.5	0	0	0	22	2	2	88
4	0	0	0	22	2	5	193
5	0	0	0	22	2	3	2
4.5	0	0	0	21	2	5	18
4.5	0	0	0	0	2	3	58
4.5	0	0	0	21	2	2	203
4	0	0	0	23	2	2	28
4.5	0	0	0	21.5	4	5	152
4.5	0	0	0	22	2	2	186
4.5	0	0	0	0	2	5	14
4	0	0	0	22	2	3	193
5	0	0	0	20	2	3	4
4.5	0	0	0	1	2	5	18
4	0	0	0	22	2	3	18
3.5	0	0	0	18	2	3	4
4.5	0	0	0	20	2	3	24
3.5	0	0	0	18	2	5	8
5	0	0	0	21.5	2	3	14
4	0	0	0	21	2	5	2
5	0	0	0	21	2	2	123
3.5	0	0	0	22	2	3	123
4	0	0	0	21.5	2	5	2
4	0	0	0	2	3	2	28
5	0	0	0	18	2	5	64
5	0	0	0	22	2	3	18
4.5	0	0	0	16	2	2	39
5	0	0	0	23	2	5	58
4.5	0	0	0	21	2	2	11
4	0	0	0	22	2	3	91
4.5	0	0	0	23	2	2	48
3.5	0	0	0	20.5	2	3	137
3.5	0	0	0	21	2	3	81
4	0	0	0	23	3	3	102
4	0	0	0	2.5	3	3	55
4	0	0	0	22	2	3	39
3.5	0	0	0	21	2	3	108
4.5	0	0	0	21	2	3	2
4	0	0	0	18	2	5	6
4.5	0	0	0	22	2	3	43
4.5	0	0	0	22.5	2	5	43
4	0	0	0	21.5	2	2	123
4	0	0	0	22	2	3	14
4	0	0	0	22	2	3	88
5	0	0	0	22	2	3	193
4	0	0	0	18	2	2	193
4	0	0	0	23	3	5	193
4	0	0	0	22	1	3	14
4	0	0	0	21	1	3	15
4.5	0	0	0	22	2	3	14
4	0	0	0	22	2	3	20
4.5	0	0	0	22	2	3	2
4	0	0	0	23	2	1	35
4	0	0	0	18	2	5	6
4.5	0	0	0	21	2	3	14
4	0	0	0	22	2	3	108
4.5	0	0	0	18	2	5	14
5	0	0	0	22	1	2	134
4	0	0	0	20	2	3	41
4.5	0	0	0	19.5	1	2	76
5	0	0	0	18	2	5	18
4.5	0	0	0	2	2	5	53
4.5	0	0	0	0	2	3	108
4	0	0	0	2	2	3	20
4	0	0	0	23	2	3	18
4.5	0	0	0	18	2	3	20
4	0	0	0	22.5	2	5	18
4.5	0	0	0	1	2	3	18
4	0	0	0	23	2	5	63
4.5	0	0	0	21	2	2	55
4	0	0	0	18	1	5	43
4.5	0	0	0	1	2	5	58
4.5	0	0	0	18	2	3	86
3.5	0	0	0	23	1	3	20
4	0	0	0	18	1	3	41
4	0	0	0	23	2	2	2
4	0	0	0	18	2	2	134
4.5	0	0	0	22	1	3	48
4	0	0	0	21.5	2	3	2
4	0	0	0	22	2	5	18
4.5	0	0	0	6	2	3	2
4	0	0	0	21	2	2	13
4.5	0	0	0	23	2	5	58
4	0	0	0	22	2	3	14
3.5	0	0	0	23	2	2	4
4.5	0	0	0	18	2	2	2
4.5	0	0	0	22.5	2	3	4
4	0	0	0	22	2	5	37
4	0	0	0	22	2	5	18
4	0	0	0	0	3	5	39
4.5	0	0	0	2	2	2	55
4	0	0	0	0	3	5	2
4	0	0	0	20	2	3	81
4	0	0	0	18	2	2	193
4	0	0	0	23	2	3	11
4.5	0	0	0	21	1	3	123
4.5	0	0	0	21	2	2	78
4.5	0	0	0	18	2	3	2
4	0	0	0	22	2	3	18
3.5	0	0	0	23	2	2	123
4.5	0	0	0	23	3	3	164
4	0	0	0	21	2	3	78
4	0	0	0	20	2	3	4
4.5	0	0	0	18	2	2	123
4	0	0	0	22	2	3	43
3.5	0	0	0	22	2	2	4
4	0	0	0	23	2	2	28
4	0	0	0	18	2	3	39
4	0	0	0	21	2	3	77
4	0	0	0	22	2	2	88
4	0	0	0	22	2	3	59
4.5	0	0	0	20.5	2	3	14
4	0	0	0	23	2	5	177
3.5	0	0	0	23	2	3	123
4	0	0	0	22	2	3	2
4	0	0	0	22.5	2	5	186
4	0	0	0	0	2	5	49
4.5	0	0	0	22	2	3	2
5	0	0	0	22	2	2	2
4	0	0	0	22	2	5	20
4	0	0	0	21.5	2	3	14
4	0	0	0	21	2	2	41
3.5	0	0	0	22	3	3	164
3.5	0	0	0	22	2	3	206
5	0	0	0	18	2	5	2
4.5	0	0	0	20.5	2	3	186
4.5	0	0	0	22	2	2	0
3.5	0	0	0	0	2	2	11
4	0	0	0	22	2	2	13
4	0	0	0	2.5	2	3	108
4	0	0	0	21	2	3	4
4.5	0	0	0	1	2	5	100
4	0	0	0	2.5	2	5	18
4.5	0	0	0	21	2	5	2
5	0	0	0	18	2	3	18
5	0	0	0	21	2	3	2
4	0	0	0	2	2	5	14
4	0	0	0	22.5	2	3	14
4	0	0	0	22	2	5	20
